 ,Area
956,1919.145
957,540.689
958,474.695
959,2451.121
960,544.718
961,789.089
962,510.197
963,48847.749
964,11185.01
965,542.104
966,4370.593
967,459.885
968,3158.318
969,11920.63
970,1813.185
971,10772.715
972,620.948
973,832.323
974,1583.624
975,625.086
976,738.669
977,432.224
978,484.605
979,717.215
980,1480.169
981,738.995
982,1535.272
983,2131.5
984,44310.104
985,810.652
986,728.323
987,884.377
988,7888.389
989,523.591
990,973.675
991,56021.646
992,806.731
993,904.088
994,458.796
995,889.495
996,771.23
997,628.244
998,739.649
999,1582.862
1000,3507.451
1001,615.721
1002,2461.902
1003,532.63
1004,1525.689
1005,733.115
1006,1000.029
1007,521.522
1008,1594.078
1009,2018.897
1010,539.817
1011,1739.895
1012,1138.767
1013,4055.218
1014,13788.918
1015,5389.134
1016,1253.112
1017,1093.792
1018,846.806
1019,1022.244
1020,403.692
1021,1107.513
1022,444.639
1023,615.938
1024,966.379
1025,1489.643
1026,490.268
1027,2445.458
1028,1229.154
1029,832.432
1030,1120.145
1031,3620.272
1032,1607.909
1033,420.027
1034,11611.136
1035,456.509
1036,769.596
1037,1130.382
1038,3506.798
1039,485.694
1040,1210.859
1041,3070.436
1042,2174.08
1043,1442.707
1044,569.22
1045,1280.12
1046,4605.49
1047,1405.137
1048,438.323
1049,449.539
1050,437.778
1051,1938.093
1052,2315.759
1053,902.999
1054,402.712
1055,8722.781
1056,2399.285
1057,73746.537
1058,467.072
1059,443.332
1060,867.933
1061,707.197
1062,53692.057
1063,832.105
1064,2074.872
1065,3369.039
1066,551.034
1067,611.147
1068,714.602
1069,29433.928
1070,27211.497
1071,998.613
1072,426.235
1073,623.017
1074,865.973
1075,1082.248
1076,822.631
1077,965.943
1078,36554.464
1079,507.365
1080,611.582
1081,1521.878
1082,868.151
1083,4914.766
1084,418.721
1085,494.733
1086,470.884
1087,1539.084
1088,1946.479
1089,503.88
1090,580.001
1091,1259.755
1092,587.624
1093,903.434
1094,681.932
1095,1248.974
1096,681.714
1097,773.408
1098,650.678
1099,6632.881
1100,2306.502
1101,406.959
1102,1133.54
1103,970.408
1104,1797.503
1105,33176.821
1106,1377.476
1107,686.288
1108,51536.817
1109,664.072
1110,404.346
1111,666.577
1112,471.755
1113,3608.51
1114,982.605
1115,21430.54
1116,19177.508
1117,9311.168
1118,480.249
1119,579.348
1120,646.866
1121,35286.759
1122,547.005
1123,1432.797
1124,771.339
1125,493.644
1126,2781.306
1127,1011.137
1128,546.242
1129,1091.287
1130,409.682
1131,529.907
1132,788.436
1133,651.222
1134,473.933
1135,1065.695
1136,4508.896
1137,435.6
1138,443.005
1139,12387.049
1140,1113.503
1141,913.78
1142,469.577
1143,764.914
1144,458.578
1145,593.614
1146,410.771
1147,4872.948
1148,604.177
1149,4224.558
1150,4795.629
1151,679.536
1152,3860.178
1153,7794.627
1154,669.191
1155,548.094
1156,455.964
1157,1614.334
1158,3390.819
1159,526.205
1160,494.079
1161,31120.136
1162,1805.78
1163,3082.088
1164,862.488
1165,42085.495
1166,1315.512
1167,610.929
1168,17320.763
1169,450.302
1170,821.868
1171,525.987
1172,1748.607
1173,1809.591
1174,1011.463
1175,596.99
1176,1268.794
1177,640.877
1178,1206.612
1179,547.549
1180,3779.701
1181,550.163
1182,1701.345
1183,652.529
1184,1210.424
1185,555.281
1186,1938.747
1187,1645.37
1188,4613.549
1189,661.241
1190,1178.298
1191,2148.815
1192,9807.316
1193,75746.703
1194,2355.616
1195,1599.632
1196,513.464
1197,31889.405
1198,1047.945
1199,1005.909
1200,1278.159
1201,454.984
1202,25841.317
1203,885.575
1204,1434.213
1205,2608.046
1206,2954.021
1207,6743.742
1208,2184.534
1209,813.81
1210,511.394
1211,4828.082
1212,673.873
1213,555.063
1214,688.248
1215,547.44
1216,951.35
1217,1061.666
1218,974.219
1219,627.809
1220,637.174
1221,686.397
1222,1396.207
1223,401.732
1224,648.173
1225,1796.414
1226,987.07
1227,1467.863
1228,405.979
1229,1960.091
1230,421.552
1231,709.375
1232,896.9
1233,424.274
1234,833.63
1235,836.025
1236,1111.216
1237,2563.615
1238,464.35
1239,1740.222
1240,1053.716
1241,6922.338
1242,531.214
1243,2102.206
1244,529.581
1245,850.073
1246,574.774
1247,917.918
1248,3093.849
1249,833.63
1250,1427.788
1251,414.473
1252,1868.615
1253,3119.985
1254,1077.13
1255,2705.403
1256,6295.836
1257,7468.471
1258,1287.089
1259,664.835
1260,805.098
1261,559.31
1262,4712.539
1263,446.817
1264,556.043
1265,424.057
1266,449.43
1267,466.528
1268,400.97
1269,1472.981
1270,3480.226
1271,581.09
1272,684.545
1273,673.438
1274,769.27
1275,1589.287
1276,964.854
1277,3100.928
1278,498.98
1279,1211.839
1280,1507.938
1281,2360.299
1282,4334.765
1283,671.913
1284,444.312
1285,2654.982
1286,1378.892
1287,1811.66
1288,1266.616
1289,693.04
1290,769.923
1291,899.078
1292,25415.3
1293,18607.961
1294,1129.075
1295,494.624
1296,6195.539
1297,10088.061
1298,878.279
1299,1324.769
1300,1884.515
1301,2189.543
1302,2699.631
1303,690.208
1304,12891.909
1305,925.106
1306,1024.313
1307,1601.81
1308,588.387
1309,1040.866
1310,638.916
1311,6623.952
1312,547.876
1313,1111.216
1314,902.563
1315,6129.546
1316,722.334
1317,601.128
1318,743.351
1319,1221.64
1320,438.867
1321,423.294
1322,1575.239
1323,936.54
1324,3536.201
1325,479.705
1326,767.636
1327,494.842
1328,798.782
1329,784.08
1330,476.655
1331,453.895
