 ,Area
738,225.205
739,707.197
740,462.498
741,34441.585
742,3426.647
743,603.742
744,823.175
745,1076.694
746,250.361
747,379.19
748,836.788
749,1156.518
750,517.82
751,6721.744
752,1488.119
753,456.073
754,608.315
755,364.597
756,504.316
757,1063.3
758,624.433
759,998.286
760,356.539
761,6127.367
762,5662.256
763,692.168
764,1079.635
765,711.553
766,215.186
767,635.432
768,582.397
769,332.581
770,1058.944
771,1904.661
772,1389.455
773,474.477
774,585.337
775,482.209
776,713.948
777,663.637
778,806.405
779,2312.274
780,566.933
781,854.103
782,2503.938
783,345.866
784,967.903
785,10750.935
786,747.272
787,480.902
788,1715.393
789,557.568
790,788.218
791,6667.947
792,7799.527
793,660.043
794,1412.869
795,2594.978
796,11331.59
797,573.685
798,334.105
799,920.096
800,1703.632
801,3409.986
802,924.997
803,718.849
804,2544.775
805,716.126
806,1450.984
807,693.257
808,706.652
809,905.395
810,675.071
811,64340.516
812,409.464
813,638.59
814,685.09
815,812.721
816,581.744
817,769.814
818,432.224
819,2962.407
820,610.929
821,562.142
822,979.12
823,955.053
824,90125.531
825,471.755
826,2438.598
827,345.866
828,1321.175
829,1673.793
830,9092.606
831,814.354
832,1158.26
833,2993.334
834,392.367
835,402.386
836,945.143
837,352.618
838,491.792
839,1240.153
840,687.05
841,539.055
842,539.273
843,1081.159
844,2273.723
845,887.099
846,331.927
847,3170.515
848,758.162
849,36474.204
850,1665.299
851,1283.278
852,361.112
853,4159.762
854,1084.535
855,664.835
856,648.173
857,72497.997
858,945.579
859,663.419
860,493.753
861,937.411
862,21846.429
863,778.635
864,8716.138
865,1448.697
866,78601.189
867,717.869
868,1710.601
869,1568.922
870,13634.062
871,2536.39
872,1002.098
873,418.503
874,8235.127
875,497.673
876,1077.674
877,1186.466
878,644.579
879,82195.215
880,538.402
881,1253.003
882,5061.563
883,2424.114
884,780.922
885,4413.39
886,354.578
887,975.308
888,1254.855
889,758.597
890,712.968
891,568.676
892,699.356
893,1908.908
894,489.179
895,1519.155
896,431.353
897,575.428
898,3372.96
899,2860.367
900,1573.387
901,314.068
902,568.24
903,1476.684
904,2371.842
905,1230.352
906,688.03
907,999.266
908,895.267
909,1808.829
910,491.248
911,670.933
912,373.2
913,254.608
914,471.537
915,681.823
916,754.35
917,1184.832
918,4420.033
919,449.975
920,431.026
921,3093.522
922,249.272
923,728.759
924,1370.615
925,928.046
926,4618.994
927,7713.387
928,1104.899
929,535.352
930,6251.405
931,943.401
932,1204.87
933,4872.513
934,3170.188
935,1598.108
936,10576.368
937,1515.67
938,390.624
939,288.912
940,1103.266
941,3568.871
942,119.137
943,846.589
944,544.391
945,1121.779
946,3331.251
947,550.272
948,437.778
949,386.268
950,18004.001
951,1864.913
952,22301.304
953,1180.585
954,874.794
955,26479.58
956,3492.423
957,152.024
958,566.933
959,1009.612
960,426.235
961,595.247
962,934.907
963,2121.699
964,525.551
965,264.409
966,2275.901
967,7084.054
968,1096.296
969,711.553
970,172.607
971,1206.939
972,328.551
973,411.86
974,1007.543
975,450.846
976,640.441
977,838.421
978,3022.411
979,689.446
980,1221.096
981,37677.549
982,692.931
983,671.804
984,449.757
985,1472.437
986,487.981
987,618.661
988,1981.327
989,369.498
990,937.302
991,10910.038
992,419.701
993,1238.411
994,511.721
995,469.141
996,1368.22
997,4886.452
998,356.974
999,337.808
1000,3707.827
1001,3069.347
1002,871.418
1003,1803.602
1004,2755.061
1005,319.295
1006,11540.133
1007,1001.989
1008,1309.196
1009,490.268
1010,305.356
1011,171047.705
1012,572.596
1013,2077.703
1014,1310.829
1015,615.721
1016,267.023
1017,367.211
1018,93359.97
1019,504.207
1020,371.567
1021,782.882
1022,557.241
1023,1625.224
1024,413.384
1025,1206.721
1026,542.431
1027,591.763
1028,9937.67
1029,31114.364
1030,650.242
1031,1063.735
1032,3300.215
1033,632.165
1034,46529.05
1035,287.932
1036,1109.038
1037,1902.156
1038,800.851
1039,686.506
1040,813.265
1041,676.378
1042,76589.915
1043,4506.282
1044,5976.214
1045,1147.915
1046,1789.554
1047,1347.311
1048,1095.534
1049,161077.802
1050,468.052
1051,1839.974
1052,390.406
1053,3071.742
1054,764.26
1055,313.088
1056,721.571
1057,1363.319
1058,583.813
1059,3159.842
1060,527.076
1061,687.377
1062,799.87
1063,623.779
1064,769.379
1065,1311.374
1066,557.241
1067,1248.756
1068,849.529
1069,682.041
1070,278.566
1071,589.367
1072,696.851
1073,513.355
1074,7055.413
1075,629.878
1076,508.454
1077,840.926
1078,576.081
1079,6509.824
1080,27094.756
1081,533.937
1082,514.008
1083,827.422
1084,507.038
1085,405.108
1086,1297.326
1087,2571.891
1088,1132.233
1089,5452.732
1090,1067.656
1091,80924.026
1092,29174.419
1093,573.25
1094,916.067
1095,3635.518
1096,4192.541
1097,483.407
1098,442.679
1099,500.722
1100,378.536
1101,3047.131
1102,4742.595
1103,58916.86
1104,447.797
1105,931.966
1106,1090.198
1107,625.304
1108,386.595
1109,3883.156
1110,1066.784
1111,692.604
1112,956.578
1113,461.3
1114,1875.911
1115,9231.235
1116,448.341
1117,575.101
1118,2313.145
1119,1170.457
1120,1091.396
1121,2080.643
1122,1281.535
1123,2997.581
1124,452.262
1125,441.263
1126,662.548
1127,493.535
1128,7992.607
1129,298.386
1130,1039.559
1131,864.013
1132,744.005
1133,760.122
1134,8001.972
1135,892.653
1136,729.848
1137,781.793
1138,67896.645
1139,655.251
1140,769.161
1141,2773.792
1142,1358.854
1143,1031.719
1144,1022.353
1145,1471.13
1146,957.776
1147,358.499
1148,1374.754
1149,669.953
1150,2190.959
1151,1783.02
1152,369.062
1153,913.78
1154,1185.594
1155,610.929
1156,1330.322
1157,898.207
1158,2819.53
1159,492.228
1160,633.798
1161,1566.635
1162,3381.454
1163,1878.743
1164,53356.862
1165,969.646
1166,2106.235
1167,119.572
1168,527.838
1169,353.163
1170,747.163
1171,4239.259
1172,101828.687
1173,806.405
1174,1174.487
1175,1156.082
1176,882.526
1177,791.05
1178,608.751
1179,24720.191
1180,1396.751
1181,2080.643
1182,830.689
1183,1205.196
1184,9061.569
1185,204.405
1186,526.858
1187,3409.768
1188,1338.163
1189,1698.84
1190,1117.423
1191,560.617
1192,407.286
1193,254.608
1194,662.874
1195,195.476
1196,2234.192
1197,874.903
1198,2809.838
1199,5007.113
1200,2746.785
1201,3488.503
1202,254.173
1203,730.501
1204,1135.936
1205,3013.808
1206,4487.66
1207,2699.74
1208,1552.152
1209,226.294
1210,603.959
1211,1941.034
1212,5573.502
1213,386.377
1214,325.829
1215,3385.81
1216,544.936
1217,199.069
1218,1111.107
1219,398.683
1220,406.959
1221,1017.671
1222,556.37
1223,2336.994
1224,588.06
1225,418.721
1226,12463.278
1227,8249.066
1228,511.83
1229,908.77
1230,1390.217
1231,1541.915
1232,418.176
1233,234.788
1234,2991.265
1235,707.414
1236,597.643
1237,6566.888
1238,450.193
1239,890.475
1240,1911.631
1241,1418.096
1242,74768.78
1243,562.251
1244,291.852
1245,849.965
1246,896.029
1247,477.091
1248,49940.887
1249,1106.206
1250,595.356
1251,938.065
1252,1188.535
1253,1387.059
1254,703.276
1255,308.405
1256,3452.675
1257,597.425
1258,448.668
1259,366.013
1260,5517.527
1261,739.431
1262,464.023
1263,984.347
1264,1964.883
1265,420.681
1266,687.704
1267,911.275
1268,603.306
1269,3972.128
1270,779.615
1271,2365.744
1272,534.59
1273,453.351
1274,413.384
1275,540.689
1276,1628.817
1277,1849.34
1278,1426.481
1279,7447.78
1280,135512.546
1281,2529.094
1282,6029.466
1283,791.05
1284,772.863
1285,236.204
1286,632.491
1287,416.434
1288,951.242
1289,8709.278
1290,563.231
1291,562.36
1292,631.511
1293,1852.825
1294,2362.586
1295,782.338
1296,449.757
1297,880.565
1298,475.022
1299,684.11
1300,4317.885
1301,590.674
1302,450.737
1303,70081.506
1304,677.031
1305,1034.006
1306,811.741
1307,6079.234
1308,1051.647
1309,1907.71
1310,341.401
1311,415.998
1312,1585.802
1313,66513.942
1314,1223.6
1315,2908.828
1316,481.447
1317,3060.199
1318,40411.483
1319,2317.61
1320,1571.536
1321,1510.443
1322,395.851
1323,350.549
1324,124063.345
1325,781.466
1326,53296.967
1327,26729.505
1328,904.959
1329,573.25
1330,8482.874
1331,660.37
1332,521.522
1333,1386.733
